[0] 0x0e0
[1] 0xa22a
[2] 0x60c
[3] 0x618
[4] 0xd01f
[5] 0x709
[6] 0xa239
[7] 0xd01f
[8] 0xa248
[9] 0x708
[10] 0xd01f
[11] 0x704
[12] 0xa257
[13] 0xd01f
[14] 0x708
[15] 0xa266
[16] 0xd01f
[17] 0x708
[18] 0xa275
[19] 0xd01f
[20] 0x1228
[21] 0x1228
[22] 0x1228
[23] 0x1228
[24] 0x1228
[25] 0x1228
[26] 0x1228
[27] 0x1228
[28] 0x1228
[29] 0x1228
[30] 0x1228
[31] 0x1228
[32] 0x1228
[33] 0x1228
[34] 0x1228
[35] 0x1228
[36] 0x1228
[37] 0x1228
[38] 0x1228
[39] 0x1228
[40] 0x1228
[41] 0x1228
[42] 0x1228
[43] 0x1228
[44] 0x1228
[45] 0x1228
[46] 0x1228
[47] 0x1228
[48] 0x1228
[49] 0x1228
[50] 0x1228
[51] 0x1228
[52] 0x1228
[53] 0x1228
[54] 0x1228
[55] 0x1228
[56] 0x1228
[57] 0x1228
[58] 0x1228
[59] 0x1228
[60] 0x1228
[61] 0x1228
[62] 0x1228
[63] 0x1228
[64] 0x1228
[65] 0x1228
[66] 0x1228
[67] 0x1228
[68] 0x1228
[69] 0x1228
[70] 0x1228
[71] 0x1228
[72] 0x1228
[73] 0x1228
[74] 0x1228
[75] 0x1228
[76] 0x1228
[77] 0x1228
[78] 0x1228
[79] 0x1228
[80] 0x1228
[81] 0x1228
[82] 0x1228
[83] 0x1228
[84] 0x1228
[85] 0x1228
[86] 0x1228
[87] 0x1228
[88] 0x1228
[89] 0x1228
[90] 0x1228
[91] 0x1228
[92] 0x1228
[93] 0x1228
[94] 0x1228
[95] 0x1228
[96] 0x1228
[97] 0x1228
[98] 0x1228
[99] 0x1228
[100] 0x1228
[101] 0x1228
[102] 0x1228
[103] 0x1228
[104] 0x1228
[105] 0x1228
[106] 0x1228
[107] 0x1228
[108] 0x1228
[109] 0x1228
[110] 0x1228
[111] 0x1228
[112] 0x1228
[113] 0x1228
[114] 0x1228
[115] 0x1228
[116] 0x1228
[117] 0x1228
[118] 0x1228
[119] 0x1228
[120] 0x1228
[121] 0x1228
[122] 0x1228
[123] 0x1228
[124] 0x1228
[125] 0x1228
[126] 0x1228
[127] 0x1228
[128] 0x1228
[129] 0x1228
[130] 0x1228
[131] 0x1228
[132] 0x1228
[133] 0x1228
[134] 0x1228
[135] 0x1228
[136] 0x1228
[137] 0x1228
[138] 0x1228
[139] 0x1228
[140] 0x1228
[141] 0x1228
[142] 0x1228
[143] 0x1228
[144] 0x1228
[145] 0x1228
[146] 0x1228
[147] 0x1228
[148] 0x1228
[149] 0x1228
[150] 0x1228
[151] 0x1228
[152] 0x1228
[153] 0x1228
[154] 0x1228
[155] 0x1228
[156] 0x1228
[157] 0x1228
[158] 0x1228
[159] 0x1228
[160] 0x1228
[161] 0x1228
[162] 0x1228
[163] 0x1228
[164] 0x1228
[165] 0x1228
[166] 0x1228
[167] 0x1228
[168] 0x1228
[169] 0x1228
[170] 0x1228
[171] 0x1228
[172] 0x1228
[173] 0x1228
[174] 0x1228
[175] 0x1228
[176] 0x1228
[177] 0x1228
[178] 0x1228
[179] 0x1228
[180] 0x1228
[181] 0x1228
[182] 0x1228
[183] 0x1228
[184] 0x1228
[185] 0x1228
[186] 0x1228
[187] 0x1228
[188] 0x1228
[189] 0x1228
[190] 0x1228
[191] 0x1228
[192] 0x1228
[193] 0x1228
[194] 0x1228
[195] 0x1228
[196] 0x1228
[197] 0x1228
[198] 0x1228
[199] 0x1228
[200] 0x1228
[201] 0x1228
[202] 0x1228
[203] 0x1228
[204] 0x1228
[205] 0x1228
[206] 0x1228
[207] 0x1228
[208] 0x1228
[209] 0x1228
[210] 0x1228
[211] 0x1228
[212] 0x1228
[213] 0x1228
[214] 0x1228
[215] 0x1228
[216] 0x1228
[217] 0x1228
[218] 0x1228
[219] 0x1228
[220] 0x1228
[221] 0x1228
[222] 0x1228
[223] 0x1228
[224] 0x1228
[225] 0x1228
[226] 0x1228
[227] 0x1228
[228] 0x1228
[229] 0x1228
[230] 0x1228
[231] 0x1228
[232] 0x1228
[233] 0x1228
[234] 0x1228
